beta1_1 beta2_1 beta1_2 beta2_2 
1.97874 0.01664441 0.04853522 0.9509585 
1.959184 0.02151866 0.1111936 0.9456163 
1.933491 0.03856378 0.06753189 0.9642887 
1.959842 0.02181195 0.01650912 0.9846122 
1.945117 0.02954758 -0.1070391 1.036126 
1.888427 0.05536636 0.2241346 0.8860378 
1.911826 0.04455312 -0.1263454 1.026739 
2.006544 0.009032697 -0.05682823 1.025046 
1.920204 0.03930526 -0.1955355 1.071397 
1.909021 0.04384962 0.009161725 0.9791022 
1.938574 0.03588383 -0.02685183 0.9844631 
1.902844 0.05025619 0.03281353 0.9738614 
1.892497 0.05372585 0.05174273 0.9743267 
1.896663 0.05230493 -0.1329968 1.043412 
1.94516 0.03034863 0.01596054 0.9804901 
1.932806 0.04133715 0.05340134 0.9715628 
1.884909 0.05283152 0.009670932 0.989793 
1.885739 0.05509779 -0.01623299 0.9988592 
1.966705 0.02312954 0.05535603 0.9738353 
1.903363 0.04643508 0.1148134 0.9185909 
1.928089 0.03604353 -0.01987343 1.013368 
1.913598 0.04276433 0.09744578 0.9517105 
1.952326 0.03162184 -0.005779694 0.9897662 
1.94267 0.03014639 0.02205647 0.979743 
1.930439 0.04138637 0.2356687 0.8775734 
1.947774 0.03017336 -0.1655184 1.042434 
1.881526 0.05487134 0.1108914 0.9397631 
1.944151 0.03049954 -0.07610382 1.015521 
1.896099 0.05102699 -0.07200515 1.00415 
1.91947 0.04318652 0.04293988 0.9723722 
1.977332 0.016634 0.002223207 0.9850088 
1.961066 0.02543753 0.04795034 0.9542526 
1.934064 0.02733882 -0.09499949 1.031328 
1.906272 0.04446567 0.132354 0.932607 
1.889745 0.05444958 -0.1409569 1.03219 
1.932569 0.04035476 -0.07706891 1.026351 
1.887829 0.05733473 0.06215637 0.9574962 
1.912626 0.04170468 0.05981619 0.9699047 
1.949285 0.02956223 0.07625828 0.9477875 
1.847921 0.0725361 0.09892693 0.9405842 
1.898151 0.05326194 0.2583331 0.8871885 
1.926298 0.04216146 0.003930366 0.9954363 
1.91188 0.04470295 -0.1359152 1.043184 
1.936532 0.03195724 -0.006044483 0.9896474 
1.917355 0.03884163 -0.07600755 1.012933 
1.940797 0.03210789 0.05003778 0.9452672 
1.938602 0.03405964 0.06041623 0.9615567 
1.890374 0.05463228 -0.009999189 0.9830698 
1.910961 0.04718474 -0.01031966 0.9839642 
1.940948 0.03632644 0.03391783 0.9548386 
1.928715 0.03994607 0.06368686 0.9482873 
1.963064 0.0267391 0.057026 0.9696864 
1.930402 0.04001803 0.05253082 0.9697053 
