beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
0.03717604 0.9622556 1.853089 0.07189917 -13.76726 -1.629844 
0.2431708 0.8776798 1.923037 0.03579878 11.57849 3.483841 
0.04716049 0.9772275 1.935776 0.03329735 6.736738 -1.528607 
0.2066858 0.8871999 1.937457 0.03464509 -11.24923 12.62932 
-0.02956255 0.9923954 1.90158 0.04508366 -2.199649 -19.0759 
0.08564791 0.943438 1.992353 0.01542025 -12.67958 -0.6748163 
0.07047451 0.9604954 1.916934 0.03943626 7.59318 -0.4531004 
-0.1184224 1.0368 1.898763 0.04513346 7.983035 7.64712 
-0.3197896 1.108143 1.898479 0.05148561 -8.7428 -10.42975 
0.007645368 0.968523 1.946782 0.02813399 7.366412 -0.8599336 
0.01699849 0.9613037 1.908482 0.04831954 8.281156 3.108178 
0.1530018 0.9067149 1.971908 0.01996293 -1.347689 19.04716 
-0.01953779 0.9957887 1.964274 0.02397279 -0.4359697 -2.019178 
0.1704788 0.911113 1.958721 0.0239902 10.12226 -16.5399 
0.07213604 0.9641648 1.946567 0.03192658 0.3029118 2.72127 
-0.2032593 1.059587 1.920295 0.04307692 10.77426 3.810243 
-0.04399436 1.012224 1.896756 0.04910309 -6.089498 -3.821389 
0.03523713 0.9745779 1.919113 0.04741019 -16.54106 5.894557 
0.05101065 0.9719561 1.948204 0.03139897 0.8924188 -4.561486 
-0.02940772 0.9988749 1.886229 0.05557141 -0.5211782 15.9305 
0.07935165 0.9594764 1.959488 0.02244957 10.47022 -0.287014 
0.1785535 0.9027478 1.910516 0.04618847 -1.949053 4.092607 
-0.09840978 1.039072 1.903894 0.04540925 20.51576 -0.3032794 
0.1899503 0.8901423 1.930792 0.0335558 14.84518 15.15606 
-0.05724207 1.013972 1.946801 0.03128848 3.496488 4.54057 
0.04548375 0.9668895 1.921033 0.04335755 8.98628 16.24202 
-0.02028101 0.9963856 1.987421 0.01247759 -6.383236 -23.51413 
