"u" "t" "z"
0.174662320484088 0.013136519591955 3
0.0443150250983708 1.18666849996117 3
1.20691614057793 0.266366644121666 2
0.0627590070334298 1.90569195015993 2
0.826174395319851 0.888047179162224 1
0.405019460632324 0.36093603804506 1
1.28841102268259 0.235933103019617 3
0.223214770265808 0.88519249980207 3
2.42304119102385 1.82832846871574 3
0.885718310960381 0.323133714932346 3
0.197005519657341 1.10102487187096 2
3.18588041840162 0.206675524999693 1
0.807685576563525 0.502108111380598 3
0.362434098160704 0.165948900098455 1
0.508783512785017 0.342375560642312 1
0.293113475369959 2.6188896141988 1
4.0383872517991 0.257625385035357 1
1.23452061295463 2.19632759759671 3
0.687935446614116 0.49897793153342 3
0.57535533077112 0.985702058331636 1
0.658337366280594 0.782067761975533 2
1.66994566377081 0.752682558789519 1
0.203703149475803 0.482415088106681 1
2.74842698386194 0.595756465847425 1
0.819018845176951 1.11331699136958 1
4.10186054580246 0.491811526221195 2
2.18124479984474 0.402661897109387 2
0.572869849254939 1.56682734964478 2
0.43641123606434 0.961114978809424 2
0.460155566350037 0.0584983250536745 1
0.13187302052229 3.25451989518885 1
1.45864933241542 0.899755868281463 2
3.15724361916104 0.0665607290640734 1
0.721885776600625 0.178898186908934 1
1.23483400248659 0.0624286145054763 1
1.03880152770177 1.7941521498796 2
0.193571075138834 2.26222618586882 2
0.69022619433513 0.0611640492242837 3
0.675003665310489 0.0287394942369546 3
0.102750548930771 0.60250984477198 1
0.336514797537292 0.390930802946989 3
0.113249355841852 0.665885228204665 1
1.52642400902126 0.0240066418601244 2
1.13553108698833 0.106661859703828 2
1.55904053533845 0.173226699448044 2
1.27070615297511 0.641655655930964 2
0.360655424240081 0.59972260092139 2
2.85642614464339 1.02394415191003 1
0.29525662895383 0.285720456606182 2
0.614869346586324 0.860401652054784 2
0.291035139320706 2.1045540426113 1
3.37183330679779 0.358677880449649 2
1.75384586064468 0.108745514026715 3
0.941199736975017 1.13542706500778 1
1.30620626432101 0.811953243882823 3
0.540985792279884 1.11699150024487 1
2.7277087967501 0.222529445846714 3
1.48073220780383 0.517750260176701 3
1.2522651217073 0.668836919563818 1
0.0667802306691638 1.79460783337911 1
2.92412722088987 0.595988845831458 3
4.78289838328092 0.406978201277254 1
1.49156722479509 0.161008843846433 1
3.14340113956183 1.32527113823023 2
0.818037141367563 0.462288769060739 3
0.0023676909691141 7.97290820024099 3
0.956441051336524 1.21693994864476 1
0.30997548090488 1.73693569166232 3
0.770724385225311 0.812866323385607 3
0.338189426320186 0.76656086833249 3
5.66975990682228 0.439937892898999 2
0.0521048987756301 0.636013551270628 2
0.574661886326928 0.494877849641907 1
0.317106104980958 0.866874085105447 2
0.892991978026989 0.0351364157887208 1
1.44481996751358 0.634718743954234 2
0.870226834001471 0.715519131558197 2
1.52941494949159 0.770698991574198 1
0.772970732058944 0.089968805873234 1
0.840780084101679 1.24938355669108 3
1.88683176932522 0.452847309739722 3
0.135751869629192 0.760518434298194 2
0.581273811033297 0.691163293894965 3
1.37252748986951 1.49691205793249 3
0.867891009510082 0.0229464465812891 2
0.725813757468997 1.22561351702843 2
1.18444496206586 1.00705084808914 1
1.2791797677089 0.160797054559466 2
0.0558145520963247 4.47472986227424 1
1.35786673643028 1.17811455653113 1
0.496871920115112 0.246577585809981 2
0.245941883985711 0.256897489341288 2
1.89409103016713 0.836150872554612 3
0.606056158282528 0.469347795536052 3
0.197782134977073 1.84863122281441 3
2.11212184544056 0.12883743704316 1
2.45418598259538 0.292132416789545 3
1.48714757274834 0.306495238664461 3
0.163531365112138 0.209878805233173 1
0.680656132679076 2.31330409886216 3
2.05934450708437 1.06641163354796 1
0.565423094720662 0.176459262596621 3
1.92922065808055 0.0616387225728521 2
0.679499894813247 1.0011210835601 3
0.188111366067855 2.58763551797822 3
1.35015179449358 0.246349402751704 3
0.465803749889567 1.13400311157271 3
0.509060164813833 0.148921838777544 2
1.4757324300883 0.221257916132799 1
0.789170051937619 0.585100522048815 2
1.00257127832469 1.63890024005297 1
2.71375295458941 1.20986847918961 3
0.355466438020841 0.77323825731379 3
1.34891304633247 0.136447957258099 3
0.439034663400134 1.41967153017837 1
2.71806368811688 0.298539731051944 2
0.401091482050506 0.0328609449149486 3
0.553864686297388 1.21710339953418 3
0.0868872883636969 2.53669849274242 2
0.327724638400856 1.65016185812982 1
2.88355715525569 0.282248335270857 2
0.130961680582405 1.69805207211277 2
1.22804282041973 0.551909522994495 1
1.83510488198626 0.239008878626443 2
0.613245055793681 0.431508050392592 3
0.0998875450211865 0.125377081899833 2
2.43841079399762 0.299939149716127 3
1.71551892995933 1.41488288966893 2
0.384958327456541 1.34378957198107 2
1.60536579512092 0.014728018351173 1
0.469104624409094 0.146850748152412 3
0.267706840307309 0.804403396782968 3
0.670378012909363 1.80795510955343 1
2.09444289364696 0.366867021473825 1
0.976744856136664 1.20850947287035 1
3.1138853153858 0.613775163540905 3
1.0747401591051 0.44284908786842 2
1.38760011244247 0.936785597900112 1
0.807438343978115 1.39453314708902 2
0.083600477309552 0.836983776661459 2
2.0142973307065 0.378469062636442 3
0.773342884093829 0.165420170762305 3
0.998933111822455 0.0881096840511502 1
1.41378894437927 0.169819949536752 1
