"beta1_1" "beta2_1" "beta1_2" "beta2_2"
0.1550497 0.918936 1.956639 0.02254094
-0.1160932 1.038373 1.909382 0.04750667
0.1266764 0.9316725 1.897925 0.05505212
-0.02022139 0.981949 1.936374 0.03422386
-0.05287788 1.012075 1.926165 0.03837467
0.03450684 0.9700105 1.883481 0.05999883
-0.1690164 1.064595 1.901611 0.04793557
0.1033826 0.9420407 1.91648 0.04262845
0.007794328 0.9849664 1.854207 0.07254224
0.1155516 0.9379312 1.873244 0.06188385
-0.003515911 0.9829584 1.8935 0.05392648
0.1016207 0.9445301 1.896816 0.05231301
0.009880928 0.9941467 1.900403 0.05301111
0.02407408 0.9828051 1.920204 0.03985407
-0.05907775 1.017167 1.952864 0.03076338
-0.1003446 1.024538 1.937063 0.03386258
0.1233593 0.9175245 1.9103 0.04669923
-0.03773474 0.9977908 1.924914 0.03612854
-0.0673308 1.011926 1.887086 0.05905582
0.08744958 0.95524 1.947395 0.02923825
-0.01160361 0.9995539 1.955888 0.02176384
-0.08336245 1.030688 1.934658 0.03229834
0.000784645 0.9822716 1.938932 0.02535599
-0.007848479 0.9765799 1.939079 0.03491477
-0.0667698 1.01068 1.906852 0.04743885
-0.09342034 1.011019 1.90406 0.05172346
-0.09159482 1.036996 1.93314 0.03083781
-0.009371388 0.9965178 1.898204 0.05096195
0.1366968 0.9316343 1.980789 0.0157557
0.05501035 0.9558201 1.907515 0.0423441
0.3001335 0.8759651 1.9038 0.04711621
0.07241911 0.9606085 1.923521 0.03911657
-0.01495435 0.9897935 1.937061 0.03504097
-0.03541206 1.008519 1.932244 0.03966695
0.08695699 0.9410061 1.937765 0.02546412
-0.05297289 0.9953357 1.901097 0.04795412
0.04743105 0.9750864 1.971057 0.01761158
0.04957117 0.961935 1.899324 0.05882269
0.02325094 0.9781503 1.915585 0.04844768
-0.1882001 1.054888 1.891269 0.05646556
0.08724514 0.9401006 1.924221 0.04190962
-0.06495965 1.015729 1.920142 0.04103313
0.04531204 0.9727587 1.956282 0.02379978
0.1626254 0.9100809 1.963055 0.01869383
0.09335193 0.9485451 1.903917 0.04848635
-0.01332875 1.001228 1.948701 0.02756179
0.02428005 0.9613141 1.910782 0.045087
-0.003674002 0.995929 1.933868 0.03640767
-0.04518946 1.007374 1.93246 0.03520111
-0.02729432 0.9844549 1.901678 0.0467712
-0.07396384 1.004828 1.909596 0.04639902
-0.03760733 0.9960057 1.919987 0.03665869
0.1515442 0.9232945 1.952509 0.02158805
-0.008132411 0.9911395 1.921287 0.03700206
0.01507976 0.9731295 1.916132 0.04222987
0.01739968 0.9853114 1.955389 0.02756882
0.02038332 0.9866577 1.891627 0.05177664
0.02942864 0.9830653 1.907743 0.04848756
0.01125284 0.981518 1.90679 0.05024903
0.02719229 0.9671065 1.91589 0.04575649
